,product_id,avg_rating
4210,81964004,5.0
2661,49385947,5.0
387,1513667,5.0
2921,52780662,5.0
884,8141062,5.0
3932,73329078,5.0
3419,59186525,5.0
3936,73476077,5.0
2907,52699359,5.0
3941,73547373,5.0
3943,73606780,5.0
897,8197740,5.0
2899,52655395,5.0
2894,52627677,5.0
3428,59314834,5.0
3433,59411891,5.0
3955,73685012,5.0
2883,52481412,5.0
3961,73788531,5.0
1508,16536070,5.0
2880,52433106,5.0
2939,53128479,5.0
2942,53227387,5.0
3917,73247026,5.0
2973,53639849,5.0
2995,53833095,5.0
2991,53788968,5.0
3880,72920029,5.0
267,642648,5.0
3882,72945070,5.0
2987,53751834,5.0
3887,72969822,5.0
2986,53749482,5.0
3415,59165734,5.0
872,8105301,5.0
2970,53638558,5.0
1506,16536025,5.0
3905,73159008,5.0
1507,16536041,5.0
3418,59186435,5.0
3915,73238633,5.0
2957,53515396,5.0
3716,70781319,5.0
3437,59452978,5.0
2879,52432443,5.0
454,2063169,5.0
2746,50560443,5.0
3986,73986821,5.0
2770,50693558,5.0
3470,62749287,5.0
2758,50592901,5.0
3996,74227763,5.0
2753,50590603,5.0
3702,70639700,5.0
4001,74274442,5.0
2742,50560427,5.0
3982,73947380,5.0
3699,70567940,5.0
4006,74342054,5.0
1529,16966882,5.0
2723,50421557,5.0
2711,50272868,5.0
3739,71087291,5.0
2688,49981979,5.0
1425,15287960,5.0
2771,50698333,5.0
3981,73947084,5.0
2869,52341443,5.0
3970,73830099,5.0
2866,52329142,5.0
2865,52324969,5.0
3965,73806442,5.0
3966,73807070,5.0
3467,62723100,5.0
3968,73812294,5.0
1523,16875137,5.0
3707,70722482,5.0
3971,73831096,5.0
3980,73937067,5.0
3972,73831100,5.0
2823,51633569,5.0
3973,73831102,5.0
3974,73835648,5.0
3975,73844240,5.0
1497,16457489,5.0
2786,51029564,5.0
3979,73936929,5.0
271,649087,5.0
3721,70833091,5.0
841,7645111,5.0
3184,56037111,5.0
704,5868813,5.0
336,887617,5.0
705,5876277,5.0
3779,71895965,5.0
3212,56399103,5.0
3209,56320903,5.0
3198,56248606,5.0
3361,58390031,5.0
3365,58410688,5.0
3251,56936788,5.0
326,833458,5.0
738,6286725,5.0
3793,72005800,5.0
3374,58545325,5.0
626,4679003,5.0
321,823628,5.0
3377,58617330,5.0
3385,58728728,5.0
3738,71082242,5.0
3764,71293311,5.0
614,4432709,5.0
658,4794549,5.0
3336,58204138,5.0
3743,71102068,5.0
3333,58176142,5.0
3745,71112373,5.0
651,4754861,5.0
3749,71151380,5.0
3327,58075222,5.0
657,4794489,5.0
659,4796403,5.0
3253,56999311,5.0
1501,16518729,5.0
3290,57652434,5.0
3285,57625269,5.0
3276,57440303,5.0
641,4727059,5.0
3272,57415784,5.0
3269,57316596,5.0
3254,57003675,5.0
3389,58852284,5.0
3396,58936414,5.0
3869,72821133,5.0
3043,54399906,5.0
292,728605,5.0
3723,70840299,5.0
3843,72635454,5.0
3080,54664144,5.0
3064,54582248,5.0
3055,54477810,5.0
817,7319551,5.0
285,704654,5.0
3039,54391137,5.0
3084,54697472,5.0
3855,72781977,5.0
3026,54245193,5.0
3860,72798037,5.0
3863,72798721,5.0
3018,54029523,5.0
1505,16533906,5.0
3010,54020076,5.0
3408,59081231,5.0
3841,72628067,5.0
3092,54750222,5.0
3165,55880882,5.0
306,784972,5.0
3807,72128653,5.0
3809,72207277,5.0
3814,72290345,5.0
760,6535431,5.0
3161,55824912,5.0
3397,58954114,5.0
3403,58978540,5.0
3820,72323554,5.0
3142,55517153,5.0
3093,54750232,5.0
3133,55406079,5.0
3824,72457285,5.0
3825,72462227,5.0
3122,55239002,5.0
1411,15212692,5.0
3103,54852821,5.0
3096,54769146,5.0
3834,72535930,5.0
2662,49405093,5.0
4013,74459767,5.0
2650,49078809,5.0
1887,24442797,5.0
67,408195,5.0
4145,76205421,5.0
4146,76206341,5.0
1876,23935250,5.0
4149,76223148,5.0
1874,23889132,5.0
4151,76265784,5.0
1863,23566124,5.0
1861,23556594,5.0
4154,76297472,5.0
1310,14033612,5.0
4157,76352373,5.0
4159,76364920,5.0
4160,76451695,5.0
4161,76466253,5.0
1848,23459299,5.0
4164,76596649,5.0
4165,76732229,5.0
1844,23413669,5.0
3644,68521343,5.0
3597,68027300,5.0
2061,29248122,5.0
1894,24558526,5.0
4115,75722868,5.0
2640,48649070,5.0
2057,29245831,5.0
2052,29114814,5.0
2006,26664755,5.0
4124,75982361,5.0
4125,75983219,5.0
3656,68655745,5.0
3588,67864955,5.0
4127,75995177,5.0
3654,68619598,5.0
479,2383179,5.0
4132,76103258,5.0
4133,76105382,5.0
4135,76134137,5.0
475,2255419,5.0
4137,76155222,5.0
3648,68554054,5.0
4139,76166974,5.0
4167,76781356,5.0
4168,76798277,5.0
467,2172089,5.0
4169,76798342,5.0
4192,77907594,5.0
4193,77918557,5.0
4194,77925958,5.0
4195,78010530,5.0
4196,78511861,5.0
4198,79239706,5.0
3608,68174409,5.0
1682,20583823,5.0
1678,20555355,5.0
458,2080951,5.0
1654,20314572,5.0
1641,20118252,5.0
1633,20007977,5.0
1619,19899003,5.0
4205,80608225,5.0
1589,19395453,5.0
3622,68357693,5.0
4208,80978486,5.0
4209,81926706,5.0
4191,77876730,5.0
3631,68432556,5.0
4188,77756018,5.0
1333,14143226,5.0
1320,14071430,5.0
4170,76826691,5.0
4172,77035469,5.0
3636,68454398,5.0
1798,22406475,5.0
3606,68165482,5.0
4173,77040064,5.0
1783,22138725,5.0
4177,77242491,5.0
1695,20712070,5.0
1757,21466227,5.0
1738,21317020,5.0
1720,21095699,5.0
4181,77692949,5.0
4182,77694498,5.0
